AssessmentYear,AssessmentCategory,RegionalUnitID,StationNumber,StationName,SampleDay,Parameter,DailyMean,Unit,Exceedance,Latitude,Longitude,ParentTable,DataSource
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,pH,8.347,-,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Chloride,17.167,MG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Hardness,96.133,MG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Aluminum,5,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Beryllium,-0.1,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Cadmium,0.013,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Chromium,1.167,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Copper,0.6,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Iron,4.333,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
2019,Contaminants in Water & Sediment - Water Quality,LO13,600010064,NORTH CHANNEL WEST OF KINGSTON,18/05/2006,Lead,-0.017,UG/L,Does not exceed F/P guidelines,44.1807,-76.7351,GreatLakesNearshoreWaterChemistryProvincial.csv,MECP Great Lakes Water Chemistry
