AssessmentYear,AssessmentCategory,RegionalUnitID,LengthM,x_start,y_start,x_end,y_end
2019,Coastal Processes - Littoral Barriers,LO02,2293.633267,-79.2168594,43.22445748,-79.21763298,43.24509793
2019,Coastal Processes - Littoral Barriers,LO02,631.7936961,-79.26285173,43.20561382,-79.26352067,43.21128049
2019,Coastal Processes - Littoral Barriers,LO02,208.1729276,-79.37073137,43.18434951,-79.36989946,43.18612204
2019,Coastal Processes - Littoral Barriers,LO02,208.6362145,-79.61924434,43.22449713,-79.61797395,43.22612767
2019,Coastal Processes - Littoral Barriers,LO02,135.5341445,-79.6900386,43.23500379,-79.68962225,43.23618549
2019,Coastal Processes - Littoral Barriers,LO04,423.8808018,-79.79512429,43.29931336,-79.79080547,43.30146172
2019,Coastal Processes - Littoral Barriers,LO04,380.1129422,-79.70667487,43.39489869,-79.70293078,43.3928354
2019,Coastal Processes - Littoral Barriers,LO04,210.2767689,-79.66734495,43.44065754,-79.665431,43.43937732
2019,Coastal Processes - Littoral Barriers,LO04,1085.338134,-79.55139271,43.57449644,-79.54179478,43.56765745
2019,Coastal Processes - Littoral Barriers,LO04,673.5012653,-79.56224485,43.56650848,-79.55556094,43.56288333
2019,Coastal Processes - Littoral Barriers,LO04,731.7941497,-79.51297966,43.59337542,-79.50990074,43.58717915
2019,Coastal Processes - Littoral Barriers,LO06,495.5268859,-79.41587764,43.63080746,-79.41493173,43.62639982
2019,Coastal Processes - Littoral Barriers,LO07,1018.218209,-79.31410237,43.66234734,-79.30829298,43.6542094
2019,Coastal Processes - Littoral Barriers,LO07,652.8730931,-79.23543452,43.70816015,-79.2289841,43.70460453
2019,Coastal Processes - Littoral Barriers,LO07,132.3416212,-79.21900449,43.72235049,-79.21761205,43.72171854
2019,Coastal Processes - Littoral Barriers,LO07,126.6854195,-79.13546981,43.77457869,-79.13409939,43.77401807
2019,Coastal Processes - Littoral Barriers,LO07,292.6905706,-79.0868481,43.81305278,-79.08627326,43.81045132
2019,Coastal Processes - Littoral Barriers,LO07,518.7981049,-79.06941271,43.81077843,-79.07104206,43.80626018
2019,Coastal Processes - Littoral Barriers,LO08,291.9350129,-78.92854957,43.85160522,-78.92808641,43.84899907
2019,Coastal Processes - Littoral Barriers,LO08,266.5409544,-78.82400108,43.86624506,-78.8222043,43.86422885
2019,Coastal Processes - Littoral Barriers,LO08,667.0063402,-78.69331816,43.87662061,-78.68916523,43.87142342
2019,Coastal Processes - Littoral Barriers,LO09,265.5796876,-78.66437419,43.88875674,-78.66335695,43.88648262
2019,Coastal Processes - Littoral Barriers,LO09,138.3920625,-78.57670246,43.89676401,-78.57597078,43.89563652
2019,Coastal Processes - Littoral Barriers,LO09,503.3416231,-78.29338826,43.94420396,-78.29090907,43.94004401
2019,Coastal Processes - Littoral Barriers,LO10,591.5589293,-78.16739286,43.95645035,-78.16536541,43.95133306
2019,Coastal Processes - Littoral Barriers,LO10,287.8528225,-77.8787572,43.97763692,-77.87650436,43.975622
2019,Coastal Processes - Littoral Barriers,LO04,174.4253978,-79.71837081,43.37558921,-79.71684893,43.37447847
2019,Coastal Processes - Littoral Barriers,LO04,753.9896887,-79.61609184,43.48883958,-79.60966037,43.48392535
2019,Coastal Processes - Littoral Barriers,LO04,538.1882875,-79.60662672,43.49661974,-79.60260547,43.49275889
2019,Coastal Processes - Littoral Barriers,LO04,712.7920228,-79.5815789,43.5526122,-79.57459618,43.54868979
2019,Coastal Processes - Littoral Barriers,LO04,175.87363,-79.58413908,43.54446062,-79.5826431,43.54331048
2019,Coastal Processes - Littoral Barriers,LO04,143.5791382,-79.53024384,43.58919144,-79.5297233,43.58795547
2019,Coastal Processes - Littoral Barriers,LO08,138.2333164,-78.73063695,43.86932601,-78.7310254,43.86811406
2019,Coastal Processes - Littoral Barriers,LO06,4192.120765,-79.35104488,43.64934299,-79.32378919,43.61721442
2019,Coastal Processes - Littoral Barriers,LO02,134.3481697,-79.55134677,43.20475284,-79.55091926,43.2035844
